Ejecutando: 1 [4, 15001, '', 1000]
Ejecutando: 2 [4, 15002, '', 1002]
Ejecutando: 3 [4, 15003, '', 1001]
Ejecutando: 4 [7, 1000, 15003, 8000]
Ejecutando: 5 [10, 8000, '', 24]
Ejecutando: 6 [3, 1000, 1001, 8001]
Ejecutando: 7 [4, 8001, '', 4000]
Ejecutando: 8 [7, 4000, 15000, 8002]
Ejecutando: 9 [10, 8002, '', 12]
Ejecutando: 10 [1, 4000, 15002, 8003]
Ejecutando: 11 [4, 8003, '', 4000]
Ejecutando: 12 [5, 4000, 15000, 8004]
Ejecutando: 13 [11, 8004, '', 8]
Ejecutando: 8 [7, 4000, 15000, 8002]
Ejecutando: 9 [10, 8002, '', 12]
Ejecutando: 10 [1, 4000, 15002, 8003]
Ejecutando: 11 [4, 8003, '', 4000]
Ejecutando: 12 [5, 4000, 15000, 8004]
Ejecutando: 13 [11, 8004, '', 8]
Ejecutando: 8 [7, 4000, 15000, 8002]
Ejecutando: 9 [10, 8002, '', 12]
Ejecutando: 10 [1, 4000, 15002, 8003]
Ejecutando: 11 [4, 8003, '', 4000]
Ejecutando: 12 [5, 4000, 15000, 8004]
Ejecutando: 13 [11, 8004, '', 8]
Ejecutando: 8 [7, 4000, 15000, 8002]
Ejecutando: 9 [10, 8002, '', 12]
Ejecutando: 10 [1, 4000, 15002, 8003]
Ejecutando: 11 [4, 8003, '', 4000]
Ejecutando: 12 [5, 4000, 15000, 8004]
Ejecutando: 13 [11, 8004, '', 8]
Ejecutando: 8 [7, 4000, 15000, 8002]
Ejecutando: 9 [10, 8002, '', 12]
Ejecutando: 10 [1, 4000, 15002, 8003]
Ejecutando: 11 [4, 8003, '', 4000]
Ejecutando: 12 [5, 4000, 15000, 8004]
Ejecutando: 13 [11, 8004, '', 8]
Ejecutando: 8 [7, 4000, 15000, 8002]
Ejecutando: 9 [10, 8002, '', 12]
Ejecutando: 10 [1, 4000, 15002, 8003]
Ejecutando: 11 [4, 8003, '', 4000]
Ejecutando: 12 [5, 4000, 15000, 8004]
Ejecutando: 13 [11, 8004, '', 8]
Ejecutando: 8 [7, 4000, 15000, 8002]
Ejecutando: 9 [10, 8002, '', 12]
Ejecutando: 10 [1, 4000, 15002, 8003]
Ejecutando: 11 [4, 8003, '', 4000]
Ejecutando: 12 [5, 4000, 15000, 8004]
Ejecutando: 13 [11, 8004, '', 8]
Ejecutando: 8 [7, 4000, 15000, 8002]
Ejecutando: 9 [10, 8002, '', 12]
Ejecutando: 10 [1, 4000, 15002, 8003]
Ejecutando: 11 [4, 8003, '', 4000]
Ejecutando: 12 [5, 4000, 15000, 8004]
Ejecutando: 13 [11, 8004, '', 8]
Ejecutando: 8 [7, 4000, 15000, 8002]
